ADM2_EN,ADM2_PCODE,ADM2_REF,ADM2ALT1_EN,ADM2ALT2_EN,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,DATE,VALIDON,VALID_TO,District,DISTRICT_PCODE,AREA_SQKM
Chaudandigadhi,NP0114303,,,,1,NP01,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Udayapur,NP0114,283.2691502
Chaukune,NP0659401,,,,6,NP06,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Surkhet,NP0659,380.402038
Chaurideurali,NP0324402,,,,3,NP03,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Kabhrepalanchok,NP0324,97.79732365
Chaurjahari,NP0652302,,,,6,NP06,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Rukum West,NP0652,107.3110748
Chaurpati,NP0769401,,,,7,NP07,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Achham,NP0769,181.8509117
Chautara Sangachok Gadhi,NP0323302,,,,3,NP03,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Sindhupalchok,NP0323,165.1697641
Chharka Tangsong,NP0662406,,,,6,NP06,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Dolpa,NP0662,1965.266941
Chhathar,NP0108404,,,,1,NP01,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Terhathum,NP0108,133.561943
Chhathar Jorpati,NP0107402,,,,1,NP01,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Dhankuta,NP0107,102.5639969
Chhatradev,NP0550402,,,,5,NP05,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Arghakhanchi,NP0550,87.62765156
Chhatreshwori,NP0653405,,,,6,NP06,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Salyan,NP0653,150.622732
Chhayanath Rara,NP0665301,,,,6,NP06,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Mugu,NP0665,480.4023563
Chhedagad,NP0660301,,,,6,NP06,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Jajarkot,NP0660,283.9965254
Khaptad Chhededaha,NP0768403,,,,7,NP07,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Bajura,NP0768,127.3313864
Chhinnamasta,NP0215408,,,,2,NP02,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Saptari,NP0215,38.64513174
Chhipaharmai,NP0234407,,,,2,NP02,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Parsa,NP0234,24.89935829
Chhireshwornath,NP0217303,,,,2,NP02,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Dhanusha,NP0217,50.80788313
Chichila,NP0109404,,,,1,NP01,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Sankhuwasabha,NP0109,88.33418882
Chingad,NP0659403,,,,6,NP06,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Surkhet,NP0659,170.0204423
Chisankhugadhi,NP0113406,,,,1,NP01,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Okhaldhunga,NP0113,111.7692447
Chitwan National Park,NP0234597,,,,2,NP02,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Parsa,NP0234,146.5928227
Chitwan National Park,NP0331597,,,,3,NP03,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Makawanpur,NP0331,65.16633883
Chitwan National Park,NP0335597,,,,3,NP03,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Chitawan,NP0335,906.2885491
Chitwan National Park,NP0447597,,,,4,NP04,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Nawalparasi East,NP0447,94.6825357
Chulachuli,NP0103404,,,,1,NP01,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Ilam,NP0103,108.117512
Chum Nubri,NP0436401,,,,4,NP04,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Gorkha,NP0436,1648.717552
Chure,NP0771401,,,,7,NP07,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Kailali,NP0771,492.029427
Dakneshwori,NP0215307,,,,2,NP02,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Saptari,NP0215,69.00829932
Dakshinkali,NP0327310,,,,3,NP03,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Kathmandu,NP0327,42.67346295
Lo-Ghekar Damodarkunda,NP0445402,,,,4,NP04,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Mustang,NP0445,1347.522887
Damak,NP0104301,,,,1,NP01,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Jhapa,NP0104,70.63989661
Dangisharan,NP0556402,,,,5,NP05,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Dang,NP0556,110.6344184
Darma,NP0653402,,,,6,NP06,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Salyan,NP0653,81.41936229
Dasharathchanda,NP0774301,,,,7,NP07,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Baitadi,NP0774,134.7830714
Deumai,NP0103301,,,,1,NP01,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Ilam,NP0103,191.1210577
Devchuli,NP0447303,,,,4,NP04,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Nawalparasi East,NP0447,112.7380925
Devdaha,NP0548302,,,,5,NP05,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Rupandehi,NP0548,136.9793351
Devghat,NP0440406,,,,4,NP04,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Tanahu,NP0440,159.4756356
Devtal,NP0233407,,,,2,NP02,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Bara,NP0233,23.30633241
Dewahhi Gonahi,NP0232307,,,,2,NP02,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Rautahat,NP0232,33.98466703
Dewanganj,NP0106405,,,,1,NP01,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Sunsari,NP0106,53.44398698
Dhakari,NP0769405,,,,7,NP07,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Achham,NP0769,227.5220887
